"Start","End","Service","Amount","Unit"
"2025-09-01","2025-10-01","AWS Certificate Manager","0","USD"
"2025-09-01","2025-10-01","AWS CloudFormation","0","USD"
"2025-09-01","2025-10-01","AWS CloudTrail","73.38488","USD"
"2025-09-01","2025-10-01","AWS CodeArtifact","0","USD"
"2025-09-01","2025-10-01","AWS Config","62.661","USD"
"2025-09-01","2025-10-01","AWS Cost Explorer","0.2","USD"
"2025-09-01","2025-10-01","AWS Data Pipeline","12.9875001039","USD"
"2025-09-01","2025-10-01","AWS Global Accelerator","75.9666878917","USD"
"2025-09-01","2025-10-01","AWS Glue","1350.84661404","USD"
"2025-09-01","2025-10-01","AWS Key Management Service","4.9791667065","USD"
"2025-09-01","2025-10-01","AWS Lambda","94.4123359741","USD"
"2025-09-01","2025-10-01","AWS Secrets Manager","19.9387672725","USD"
"2025-09-01","2025-10-01","AWS Security Hub","68.683","USD"
"2025-09-01","2025-10-01","AWS Step Functions","5.2907866862","USD"
"2025-09-01","2025-10-01","AWS Support (Business)","760.8815235325","USD"
"2025-09-01","2025-10-01","AWS WAF","0.0000045022","USD"
"2025-09-01","2025-10-01","AWS X-Ray","0.70352","USD"
"2025-09-01","2025-10-01","Amazon API Gateway","71.20349333","USD"
"2025-09-01","2025-10-01","Amazon Athena","0.0667","USD"
"2025-09-01","2025-10-01","Amazon CloudFront","0.001568304","USD"
"2025-09-01","2025-10-01","Amazon Cognito","691.7715","USD"
"2025-09-01","2025-10-01","Amazon DynamoDB","0.6552","USD"
"2025-09-01","2025-10-01","Amazon EC2 Container Registry (ECR)","13.8461228329","USD"
"2025-09-01","2025-10-01","EC2 - Other","1124.8206350045","USD"
"2025-09-01","2025-10-01","Amazon Elastic Compute Cloud - Compute","1275.7645659141","USD"
"2025-09-01","2025-10-01","Amazon Elastic Container Service","222.8261084923","USD"
"2025-09-01","2025-10-01","Amazon Elastic Container Service for Kubernetes","0.2640705","USD"
"2025-09-01","2025-10-01","Amazon Elastic File System","0.38891592","USD"
"2025-09-01","2025-10-01","Amazon Elastic Load Balancing","499.4177960607","USD"
"2025-09-01","2025-10-01","Amazon GuardDuty","5.7511633679","USD"
"2025-09-01","2025-10-01","Amazon Kinesis","122.4000002171","USD"
"2025-09-01","2025-10-01","Amazon Kinesis Firehose","0.1172863565","USD"
"2025-09-01","2025-10-01","Amazon Lightsail","25.766254687","USD"
"2025-09-01","2025-10-01","Amazon Location Service","0.000777","USD"
"2025-09-01","2025-10-01","Amazon OpenSearch Service","173.5023347019","USD"
"2025-09-01","2025-10-01","Amazon Redshift","2558.766308666","USD"
"2025-09-01","2025-10-01","Amazon Relational Database Service","3161.3636348739","USD"
"2025-09-01","2025-10-01","Amazon Route 53","1.502598","USD"
"2025-09-01","2025-10-01","Amazon SageMaker","288.1542467117","USD"
"2025-09-01","2025-10-01","Amazon Simple Notification Service","17.7125159181","USD"
"2025-09-01","2025-10-01","Amazon Simple Queue Service","55.2860327569","USD"
"2025-09-01","2025-10-01","Amazon Simple Storage Service","2374.8118523127","USD"
"2025-09-01","2025-10-01","Amazon Virtual Private Cloud","1215.1745376285","USD"
"2025-09-01","2025-10-01","AmazonCloudWatch","211.3662691724","USD"
"2025-09-01","2025-10-01","CloudWatch Events","0.006023","USD"
"2025-09-01","2025-10-01","CodeBuild","7.335","USD"
"2025-09-01","2025-10-01","Tax","2302.84","USD"
"2025-10-01","2025-11-01","APN Annual Program Fee","2500","USD"
"2025-10-01","2025-11-01","AWS Amplify","0.2229956647","USD"
"2025-10-01","2025-11-01","AWS Certificate Manager","0","USD"
"2025-10-01","2025-11-01","AWS CloudFormation","0","USD"
"2025-10-01","2025-11-01","AWS CloudTrail","79.817405","USD"
"2025-10-01","2025-11-01","AWS CodeArtifact","0","USD"
"2025-10-01","2025-11-01","AWS Config","68.415","USD"
